,0,1,2,3
0,0.394607,0.00185392,0.43405,318.518
1,0.394607,0.00185393,0.43405,318.519
2,0.394607,0.00185395,0.43405,318.52
3,0.394607,0.00185396,0.43405,318.521
4,0.394607,0.00185397,0.43405,318.522
5,0.394607,0.00185398,0.43405,318.523
6,0.394607,0.00185399,0.43405,318.524
7,0.394607,0.001854,0.43405,318.525
8,0.394607,0.00185401,0.43405,318.526
9,0.394607,0.00185401,0.43405,318.527
10,0.394607,0.00185402,0.43405,318.528
11,0.394607,0.00185403,0.43405,318.529
12,0.394607,0.00185403,0.43405,318.53
13,0.394607,0.00185403,0.43405,318.531
14,0.394607,0.00185404,0.43405,318.532
15,0.394607,0.00185404,0.43405,318.533
16,0.394607,0.00185404,0.43405,318.534
17,0.394607,0.00185405,0.43405,318.535
18,0.394607,0.00185405,0.43405,318.536
19,0.394607,0.00185404,0.43405,318.537
20,0.394607,0.00185405,0.43405,318.538
21,0.394607,0.00185404,0.43405,318.539
22,0.394607,0.00185404,0.43405,318.54
23,0.394607,0.00185404,0.43405,318.541
24,0.394607,0.00185403,0.43405,318.542
25,0.394607,0.00185402,0.43405,318.543
26,0.394607,0.00185402,0.43405,318.544
27,0.394607,0.00185401,0.43405,318.545
28,0.394607,0.001854,0.43405,318.546
29,0.394607,0.001854,0.43405,318.547
30,0.394607,0.00185398,0.43405,318.548
31,0.394607,0.00185397,0.43405,318.549
32,0.394607,0.00185397,0.43405,318.55
33,0.394607,0.00185395,0.434049,318.551
34,0.394607,0.00185394,0.434048,318.552
35,0.394607,0.00185393,0.434047,318.553
36,0.394607,0.00185392,0.434046,318.554
37,0.394608,0.00185392,0.434044,318.555
38,0.394608,0.00185393,0.434041,318.556
39,0.394608,0.00185394,0.434038,318.557
40,0.394608,0.00185397,0.434035,318.558
41,0.394609,0.00185402,0.434031,318.559
42,0.39461,0.00185408,0.434027,318.56
43,0.39461,0.00185416,0.434022,318.561
44,0.394611,0.00185427,0.434017,318.562
45,0.394612,0.0018544,0.434012,318.563
46,0.394613,0.00185457,0.434007,318.564
47,0.394614,0.00185478,0.434002,318.565
48,0.394615,0.00185502,0.433997,318.566
49,0.394616,0.00185532,0.433992,318.567
50,0.394617,0.00185569,0.433988,318.568
