,0,1,2,3
0,0.411954,0.172944,0.554888,102.735
1,0.411916,0.173094,0.555013,102.736
2,0.411879,0.173244,0.555138,102.737
3,0.411841,0.173393,0.555264,102.738
4,0.411803,0.173543,0.555389,102.739
5,0.411765,0.173693,0.555514,102.74
6,0.411727,0.173843,0.55564,102.741
7,0.411689,0.173993,0.555765,102.742
8,0.411651,0.174143,0.55589,102.743
9,0.411613,0.174293,0.556016,102.744
10,0.411574,0.174443,0.556141,102.745
11,0.411536,0.174593,0.556267,102.746
12,0.411497,0.174742,0.556392,102.747
13,0.411458,0.174892,0.556517,102.748
14,0.41142,0.175042,0.556643,102.749
15,0.411381,0.175192,0.556768,102.75
16,0.411342,0.175341,0.556894,102.751
17,0.411302,0.175491,0.55702,102.752
18,0.411263,0.175641,0.557145,102.753
19,0.411224,0.175791,0.557271,102.754
20,0.411184,0.17594,0.557397,102.755
21,0.411145,0.17609,0.557522,102.756
22,0.411105,0.17624,0.557648,102.757
23,0.411065,0.176389,0.557774,102.758
24,0.411026,0.176539,0.5579,102.759
25,0.410986,0.176689,0.558026,102.76
26,0.410946,0.176838,0.558152,102.761
27,0.410905,0.176988,0.558278,102.762
28,0.410865,0.177138,0.558404,102.763
29,0.410825,0.177287,0.55853,102.764
30,0.410784,0.177437,0.558656,102.765
31,0.410744,0.177586,0.558782,102.766
32,0.410703,0.177736,0.558908,102.767
33,0.410662,0.177886,0.559034,102.768
34,0.410621,0.178035,0.55916,102.769
35,0.410581,0.178185,0.559286,102.77
36,0.410539,0.178334,0.559412,102.771
37,0.410498,0.178484,0.559538,102.772
38,0.410457,0.178633,0.559664,102.773
39,0.410416,0.178783,0.55979,102.774
40,0.410374,0.178932,0.559916,102.775
41,0.410333,0.179082,0.560043,102.776
42,0.410291,0.179231,0.560169,102.777
43,0.410249,0.17938,0.560295,102.778
44,0.410208,0.17953,0.560421,102.779
45,0.410166,0.179679,0.560548,102.78
46,0.410124,0.179828,0.560674,102.781
47,0.410082,0.179978,0.560801,102.782
48,0.410039,0.180127,0.560927,102.783
49,0.409997,0.180276,0.561054,102.784
50,0.409955,0.180425,0.56118,102.785
51,0.409912,0.180574,0.561307,102.786
52,0.40987,0.180723,0.561433,102.787
53,0.409827,0.180872,0.56156,102.788
54,0.409784,0.181021,0.561687,102.789
55,0.409741,0.18117,0.561813,102.79
56,0.409698,0.181319,0.56194,102.791
57,0.409655,0.181468,0.562067,102.792
58,0.409612,0.181617,0.562193,102.793
59,0.409569,0.181766,0.56232,102.794
60,0.409526,0.181915,0.562447,102.795
61,0.409482,0.182063,0.562573,102.796
62,0.409439,0.182212,0.5627,102.797
63,0.409395,0.182361,0.562827,102.798
64,0.409352,0.182509,0.562954,102.799
65,0.409308,0.182658,0.56308,102.8
66,0.409264,0.182806,0.563207,102.801
67,0.409221,0.182955,0.563334,102.802
68,0.409177,0.183103,0.563461,102.803
69,0.409133,0.183252,0.563588,102.804
70,0.409088,0.1834,0.563715,102.805
71,0.409044,0.183548,0.563842,102.806
72,0.409,0.183697,0.563969,102.807
73,0.408955,0.183845,0.564096,102.808
74,0.408911,0.183993,0.564223,102.809
75,0.408866,0.184141,0.56435,102.81
76,0.408822,0.184289,0.564477,102.811
77,0.408777,0.184437,0.564604,102.812
78,0.408732,0.184585,0.564732,102.813
79,0.408687,0.184733,0.564859,102.814
80,0.408642,0.184881,0.564986,102.815
81,0.408597,0.185029,0.565113,102.816
82,0.408552,0.185177,0.565241,102.817
83,0.408506,0.185325,0.565368,102.818
84,0.408461,0.185472,0.565495,102.819
85,0.408416,0.18562,0.565623,102.82
86,0.40837,0.185768,0.56575,102.821
87,0.408324,0.185916,0.565877,102.822
88,0.408279,0.186063,0.566004,102.823
89,0.408233,0.186211,0.566132,102.824
90,0.408187,0.186359,0.566259,102.825
91,0.408141,0.186506,0.566387,102.826
92,0.408095,0.186654,0.566514,102.827
93,0.408049,0.186801,0.566642,102.828
94,0.408002,0.186949,0.566769,102.829
95,0.407956,0.187096,0.566897,102.83
96,0.407909,0.187244,0.567024,102.831
97,0.407863,0.187391,0.567152,102.832
98,0.407816,0.187539,0.56728,102.833
99,0.407769,0.187686,0.567407,102.834
100,0.407722,0.187833,0.567535,102.835
101,0.407675,0.18798,0.567663,102.836
102,0.407628,0.188128,0.567791,102.837
103,0.407581,0.188275,0.567919,102.838
104,0.407533,0.188422,0.568047,102.839
105,0.407486,0.18857,0.568175,102.84
106,0.407439,0.188717,0.568302,102.841
107,0.407391,0.188864,0.56843,102.842
108,0.407343,0.189011,0.568558,102.843
109,0.407295,0.189158,0.568686,102.844
110,0.407248,0.189306,0.568814,102.845
111,0.4072,0.189453,0.568942,102.846
112,0.407152,0.1896,0.569069,102.847
113,0.407103,0.189747,0.569197,102.848
114,0.407055,0.189894,0.569325,102.849
