time,x,y,z,roll,pitch,yaw
863.548,0.0541365,-0.0117528,0.488106,3.14117,-0.260247,-3.13997
863.549,0.0541369,-0.0117529,0.488106,3.14117,-0.260249,-3.13998
863.55,0.0541374,-0.0117532,0.488106,3.14117,-0.260252,-3.13999
863.551,0.0541379,-0.0117535,0.488105,3.14118,-0.260255,-3.14
863.552,0.0541384,-0.0117539,0.488105,3.14118,-0.260258,-3.14002
863.553,0.0541389,-0.0117544,0.488105,3.14118,-0.26026,-3.14004
863.554,0.0541392,-0.0117549,0.488105,3.14118,-0.260263,-3.14005
863.555,0.0541396,-0.0117556,0.488105,3.14118,-0.260265,-3.14007
863.556,0.0541399,-0.0117563,0.488105,3.14118,-0.260267,-3.14008
863.557,0.05414,-0.011757,0.488105,3.14118,-0.260269,-3.1401
863.558,0.0541401,-0.0117576,0.488105,3.14118,-0.260269,-3.1401
863.559,0.0541402,-0.0117581,0.488105,3.14118,-0.260269,-3.14011
863.56,0.05414,-0.0117584,0.488105,3.14118,-0.260269,-3.14011
863.561,0.0541399,-0.0117585,0.488105,3.14118,-0.260269,-3.14012
863.562,0.0541398,-0.0117585,0.488105,3.14118,-0.260267,-3.14011
863.563,0.0541394,-0.0117584,0.488105,3.14118,-0.260266,-3.14011
863.564,0.0541391,-0.0117581,0.488105,3.14118,-0.260264,-3.1401
863.565,0.0541388,-0.0117578,0.488105,3.14118,-0.260262,-3.14008
863.566,0.0541383,-0.0117573,0.488105,3.14118,-0.26026,-3.14007
863.567,0.0541378,-0.0117568,0.488105,3.14118,-0.260256,-3.14005
863.568,0.0541373,-0.0117561,0.488106,3.14117,-0.260253,-3.14003
863.569,0.0541368,-0.0117554,0.488106,3.14117,-0.26025,-3.14002
863.57,0.0541363,-0.0117547,0.488106,3.14117,-0.260248,-3.14
863.571,0.0541359,-0.011754,0.488106,3.14117,-0.260245,-3.13999
863.572,0.0541357,-0.0117534,0.488106,3.14117,-0.260244,-3.13998
863.573,0.0541357,-0.011753,0.488106,3.14117,-0.260244,-3.13997
863.574,0.0541358,-0.0117528,0.488106,3.14117,-0.260244,-3.13997
863.575,0.054136,-0.0117528,0.488106,3.14117,-0.260245,-3.13997
863.576,0.0541363,-0.0117529,0.488106,3.14117,-0.260246,-3.13998
863.577,0.0541367,-0.0117531,0.488106,3.14117,-0.260249,-3.13998
863.578,0.0541371,-0.0117534,0.488106,3.14117,-0.260252,-3.13999
863.579,0.0541376,-0.0117537,0.488105,3.14118,-0.260254,-3.14001
863.58,0.0541382,-0.0117541,0.488105,3.14118,-0.260257,-3.14002
863.581,0.0541386,-0.0117545,0.488105,3.14118,-0.26026,-3.14004
863.582,0.0541391,-0.011755,0.488105,3.14118,-0.260263,-3.14005
863.583,0.0541396,-0.0117556,0.488105,3.14118,-0.260265,-3.14007
863.584,0.0541398,-0.0117562,0.488105,3.14118,-0.260267,-3.14008
863.585,0.0541401,-0.0117568,0.488105,3.14118,-0.260268,-3.14009
863.586,0.0541402,-0.0117574,0.488105,3.14118,-0.260269,-3.1401
863.587,0.0541401,-0.0117579,0.488105,3.14118,-0.26027,-3.14011
863.588,0.0541401,-0.0117582,0.488105,3.14118,-0.260269,-3.14011
863.589,0.05414,-0.0117584,0.488105,3.14118,-0.260268,-3.14011
863.59,0.0541397,-0.0117583,0.488105,3.14118,-0.260268,-3.14011
863.591,0.0541394,-0.0117582,0.488105,3.14118,-0.260266,-3.1401
863.592,0.0541391,-0.011758,0.488105,3.14118,-0.260264,-3.14009
863.593,0.0541386,-0.0117576,0.488105,3.14118,-0.260262,-3.14008
863.594,0.0541383,-0.0117572,0.488105,3.14118,-0.260259,-3.14007
863.595,0.0541378,-0.0117567,0.488105,3.14118,-0.260256,-3.14005
863.596,0.0541373,-0.0117561,0.488105,3.14117,-0.260254,-3.14003
863.597,0.0541369,-0.0117555,0.488106,3.14117,-0.260251,-3.14002
863.598,0.0541365,-0.0117548,0.488106,3.14117,-0.260249,-3.14
863.599,0.0541362,-0.0117541,0.488106,3.14117,-0.260246,-3.13999
863.6,0.054136,-0.0117535,0.488106,3.14117,-0.260245,-3.13998
863.601,0.0541359,-0.0117531,0.488106,3.14117,-0.260244,-3.13997
863.602,0.0541359,-0.0117528,0.488106,3.14117,-0.260244,-3.13996
863.603,0.0541361,-0.0117526,0.488106,3.14117,-0.260245,-3.13996
863.604,0.0541364,-0.0117526,0.488106,3.14117,-0.260246,-3.13997
863.605,0.0541367,-0.0117527,0.488106,3.14117,-0.260248,-3.13997
863.606,0.0541372,-0.0117529,0.488106,3.14117,-0.260251,-3.13998
863.607,0.0541376,-0.0117532,0.488105,3.14118,-0.260254,-3.14
863.608,0.0541381,-0.0117537,0.488105,3.14118,-0.260257,-3.14001
863.609,0.0541387,-0.0117543,0.488105,3.14118,-0.260259,-3.14003
863.61,0.0541391,-0.0117548,0.488105,3.14118,-0.260262,-3.14005
863.611,0.0541395,-0.0117555,0.488105,3.14118,-0.260265,-3.14006
863.612,0.0541399,-0.0117562,0.488105,3.14118,-0.260267,-3.14008
863.613,0.0541401,-0.0117568,0.488105,3.14118,-0.260269,-3.14009
863.614,0.0541403,-0.0117574,0.488105,3.14118,-0.26027,-3.1401
863.615,0.0541403,-0.0117579,0.488105,3.14118,-0.26027,-3.14011
863.616,0.0541402,-0.0117582,0.488105,3.14118,-0.26027,-3.14011
863.617,0.05414,-0.0117584,0.488105,3.14118,-0.260269,-3.14011
863.618,0.0541399,-0.0117584,0.488105,3.14118,-0.260267,-3.14011
863.619,0.0541395,-0.0117582,0.488105,3.14118,-0.260266,-3.1401
863.62,0.0541392,-0.011758,0.488105,3.14118,-0.260264,-3.14009
863.621,0.0541388,-0.0117576,0.488105,3.14118,-0.260262,-3.14008
863.622,0.0541383,-0.0117571,0.488105,3.14118,-0.260259,-3.14006
863.623,0.0541378,-0.0117566,0.488105,3.14118,-0.260256,-3.14005
863.624,0.0541374,-0.011756,0.488106,3.14117,-0.260253,-3.14003
863.625,0.0541369,-0.0117553,0.488106,3.14117,-0.260251,-3.14001
863.626,0.0541365,-0.0117546,0.488106,3.14117,-0.260249,-3.14
863.627,0.0541362,-0.0117539,0.488106,3.14117,-0.260247,-3.13999
863.628,0.054136,-0.0117533,0.488106,3.14117,-0.260245,-3.13998
863.629,0.054136,-0.011753,0.488106,3.14117,-0.260245,-3.13997
863.63,0.054136,-0.0117527,0.488106,3.14117,-0.260245,-3.13997
863.631,0.0541361,-0.0117527,0.488106,3.14117,-0.260245,-3.13997
863.632,0.0541363,-0.0117527,0.488106,3.14117,-0.260246,-3.13997
863.633,0.0541366,-0.0117529,0.488106,3.14117,-0.260248,-3.13998
863.634,0.0541369,-0.0117531,0.488106,3.14117,-0.26025,-3.13999
863.635,0.0541374,-0.0117535,0.488106,3.14118,-0.260253,-3.14
863.636,0.0541379,-0.0117539,0.488105,3.14118,-0.260255,-3.14001
863.637,0.0541383,-0.0117543,0.488105,3.14118,-0.260259,-3.14003
863.638,0.0541388,-0.0117548,0.488105,3.14118,-0.260261,-3.14005
863.639,0.0541393,-0.0117554,0.488105,3.14118,-0.260263,-3.14006
863.64,0.0541396,-0.011756,0.488105,3.14118,-0.260266,-3.14008
863.641,0.05414,-0.0117567,0.488105,3.14118,-0.260268,-3.14009
863.642,0.0541402,-0.0117574,0.488105,3.14118,-0.260269,-3.1401
863.643,0.0541402,-0.0117578,0.488105,3.14118,-0.26027,-3.14011
863.644,0.0541402,-0.0117582,0.488105,3.14118,-0.26027,-3.14011
863.645,0.0541402,-0.0117584,0.488105,3.14118,-0.260269,-3.14011
863.646,0.0541399,-0.0117584,0.488105,3.14118,-0.260268,-3.14011
863.647,0.0541396,-0.0117583,0.488105,3.14118,-0.260267,-3.14011
863.648,0.0541393,-0.0117581,0.488105,3.14118,-0.260264,-3.1401
863.649,0.0541387,-0.0117578,0.488105,3.14118,-0.260262,-3.14009
863.65,0.0541383,-0.0117574,0.488105,3.14118,-0.26026,-3.14007
863.651,0.0541379,-0.0117569,0.488105,3.14118,-0.260257,-3.14006
863.652,0.0541373,-0.0117563,0.488105,3.14117,-0.260254,-3.14004
863.653,0.0541369,-0.0117557,0.488106,3.14117,-0.260251,-3.14002
863.654,0.0541365,-0.011755,0.488106,3.14117,-0.260249,-3.14001
863.655,0.0541362,-0.0117543,0.488106,3.14117,-0.260247,-3.13999
863.656,0.054136,-0.0117537,0.488106,3.14117,-0.260245,-3.13998
863.657,0.054136,-0.0117532,0.488106,3.14117,-0.260245,-3.13997
863.658,0.054136,-0.0117528,0.488106,3.14117,-0.260245,-3.13997
863.659,0.0541362,-0.0117527,0.488106,3.14117,-0.260245,-3.13997
863.66,0.0541364,-0.0117527,0.488106,3.14117,-0.260247,-3.13997
863.661,0.0541368,-0.0117528,0.488106,3.14117,-0.260248,-3.13998
863.662,0.0541371,-0.0117531,0.488106,3.14117,-0.26025,-3.13999
863.663,0.0541375,-0.0117534,0.488106,3.14118,-0.260253,-3.14
863.664,0.0541379,-0.0117539,0.488105,3.14118,-0.260256,-3.14002
863.665,0.0541384,-0.0117544,0.488105,3.14118,-0.260258,-3.14003
863.666,0.0541388,-0.0117549,0.488105,3.14118,-0.260261,-3.14005
863.667,0.0541392,-0.0117556,0.488105,3.14118,-0.260263,-3.14007
863.668,0.0541396,-0.0117563,0.488105,3.14118,-0.260265,-3.14008
863.669,0.0541398,-0.0117569,0.488105,3.14118,-0.260268,-3.14009
863.67,0.0541401,-0.0117575,0.488105,3.14118,-0.260269,-3.1401
863.671,0.0541402,-0.0117581,0.488105,3.14118,-0.260269,-3.14011
863.672,0.0541401,-0.0117584,0.488105,3.14118,-0.26027,-3.14011
863.673,0.0541401,-0.0117585,0.488105,3.14118,-0.260269,-3.14011
863.674,0.05414,-0.0117585,0.488105,3.14118,-0.260268,-3.14011
863.675,0.0541396,-0.0117583,0.488105,3.14118,-0.260267,-3.14011
863.676,0.0541394,-0.0117581,0.488105,3.14118,-0.260265,-3.1401
863.677,0.054139,-0.0117577,0.488105,3.14118,-0.260263,-3.14009
863.678,0.0541385,-0.0117572,0.488105,3.14118,-0.260261,-3.14007
863.679,0.054138,-0.0117567,0.488105,3.14118,-0.260258,-3.14005
863.68,0.0541376,-0.0117562,0.488105,3.14117,-0.260255,-3.14004
863.681,0.054137,-0.0117555,0.488106,3.14117,-0.260252,-3.14002
863.682,0.0541365,-0.0117549,0.488106,3.14117,-0.260249,-3.14
863.683,0.0541362,-0.0117542,0.488106,3.14117,-0.260247,-3.13999
863.684,0.0541359,-0.0117536,0.488106,3.14117,-0.260245,-3.13998
863.685,0.0541358,-0.0117532,0.488106,3.14117,-0.260244,-3.13997
863.686,0.0541358,-0.0117529,0.488106,3.14117,-0.260244,-3.13997
863.687,0.0541359,-0.0117527,0.488106,3.14117,-0.260244,-3.13997
863.688,0.0541362,-0.0117527,0.488106,3.14117,-0.260246,-3.13997
863.689,0.0541366,-0.0117528,0.488106,3.14117,-0.260247,-3.13997
863.69,0.054137,-0.011753,0.488106,3.14117,-0.26025,-3.13998
863.691,0.0541374,-0.0117533,0.488106,3.14118,-0.260253,-3.14
863.692,0.0541379,-0.0117537,0.488105,3.14118,-0.260256,-3.14001
863.693,0.0541385,-0.0117542,0.488105,3.14118,-0.260258,-3.14003
863.694,0.0541389,-0.0117547,0.488105,3.14118,-0.260261,-3.14005
863.695,0.0541394,-0.0117553,0.488105,3.14118,-0.260264,-3.14006
863.696,0.0541398,-0.011756,0.488105,3.14118,-0.260266,-3.14008
863.697,0.05414,-0.0117566,0.488105,3.14118,-0.260268,-3.14009
863.698,0.0541402,-0.0117573,0.488105,3.14118,-0.260269,-3.1401
863.699,0.0541403,-0.0117578,0.488105,3.14118,-0.260269,-3.1401
863.7,0.0541401,-0.0117581,0.488105,3.14118,-0.26027,-3.14011
863.701,0.05414,-0.0117584,0.488105,3.14118,-0.260269,-3.14011
863.702,0.0541399,-0.0117584,0.488105,3.14118,-0.260268,-3.14011
863.703,0.0541396,-0.0117582,0.488105,3.14118,-0.260267,-3.1401
863.704,0.0541393,-0.011758,0.488105,3.14118,-0.260265,-3.14009
863.705,0.054139,-0.0117577,0.488105,3.14118,-0.260263,-3.14008
863.706,0.0541385,-0.0117572,0.488105,3.14118,-0.260261,-3.14007
863.707,0.0541381,-0.0117567,0.488105,3.14118,-0.260258,-3.14005
863.708,0.0541377,-0.0117562,0.488105,3.14117,-0.260255,-3.14004
863.709,0.0541372,-0.0117555,0.488106,3.14117,-0.260253,-3.14002
863.71,0.0541367,-0.0117548,0.488106,3.14117,-0.26025,-3.14
863.711,0.0541364,-0.0117541,0.488106,3.14117,-0.260247,-3.13999
863.712,0.0541361,-0.0117536,0.488106,3.14117,-0.260245,-3.13998
863.713,0.0541359,-0.0117531,0.488106,3.14117,-0.260244,-3.13997
863.714,0.0541358,-0.0117528,0.488106,3.14117,-0.260244,-3.13997
863.715,0.0541359,-0.0117527,0.488106,3.14117,-0.260244,-3.13996
863.716,0.0541361,-0.0117526,0.488106,3.14117,-0.260245,-3.13997
863.717,0.0541364,-0.0117527,0.488106,3.14117,-0.260247,-3.13997
863.718,0.0541368,-0.011753,0.488106,3.14117,-0.260249,-3.13998
863.719,0.0541372,-0.0117533,0.488106,3.14118,-0.260252,-3.13999
863.72,0.0541377,-0.0117537,0.488105,3.14118,-0.260255,-3.14001
863.721,0.0541383,-0.0117542,0.488105,3.14118,-0.260258,-3.14003
863.722,0.0541388,-0.0117547,0.488105,3.14118,-0.260261,-3.14004
863.723,0.0541393,-0.0117553,0.488105,3.14118,-0.260264,-3.14006
863.724,0.0541398,-0.011756,0.488105,3.14118,-0.260266,-3.14008
863.725,0.0541401,-0.0117566,0.488105,3.14118,-0.260269,-3.14009
863.726,0.0541403,-0.0117573,0.488105,3.14118,-0.26027,-3.1401
863.727,0.0541404,-0.0117578,0.488105,3.14118,-0.26027,-3.14011
863.728,0.0541403,-0.0117582,0.488105,3.14118,-0.26027,-3.14011
863.729,0.0541402,-0.0117584,0.488105,3.14118,-0.26027,-3.14011
863.73,0.05414,-0.0117584,0.488105,3.14118,-0.260268,-3.14011
863.731,0.0541396,-0.0117583,0.488105,3.14118,-0.260267,-3.14011
863.732,0.0541393,-0.0117581,0.488105,3.14118,-0.260265,-3.1401
863.733,0.054139,-0.0117578,0.488105,3.14118,-0.260262,-3.14009
863.734,0.0541385,-0.0117573,0.488105,3.14118,-0.260261,-3.14007
863.735,0.054138,-0.0117569,0.488105,3.14118,-0.260258,-3.14006
863.736,0.0541376,-0.0117563,0.488105,3.14117,-0.260255,-3.14004
863.737,0.0541371,-0.0117557,0.488106,3.14117,-0.260253,-3.14002
863.738,0.0541367,-0.011755,0.488106,3.14117,-0.26025,-3.14001
863.739,0.0541364,-0.0117543,0.488106,3.14117,-0.260247,-3.14
863.74,0.0541361,-0.0117537,0.488106,3.14117,-0.260246,-3.13998
863.741,0.0541359,-0.0117532,0.488106,3.14117,-0.260244,-3.13998
863.742,0.0541359,-0.0117529,0.488106,3.14117,-0.260244,-3.13997
863.743,0.0541359,-0.0117528,0.488106,3.14117,-0.260244,-3.13997
863.744,0.0541361,-0.0117528,0.488106,3.14117,-0.260245,-3.13997
863.745,0.0541364,-0.0117529,0.488106,3.14117,-0.260247,-3.13998
863.746,0.0541368,-0.0117531,0.488106,3.14117,-0.260249,-3.13998
863.747,0.0541371,-0.0117534,0.488106,3.14117,-0.260252,-3.14
863.748,0.0541376,-0.0117538,0.488105,3.14118,-0.260254,-3.14001
863.749,0.0541382,-0.0117543,0.488105,3.14118,-0.260257,-3.14003
863.75,0.0541386,-0.0117547,0.488105,3.14118,-0.26026,-3.14005
863.751,0.0541392,-0.0117553,0.488105,3.14118,-0.260263,-3.14006
863.752,0.0541397,-0.011756,0.488105,3.14118,-0.260266,-3.14008
863.753,0.05414,-0.0117566,0.488105,3.14118,-0.260268,-3.14009
863.754,0.0541403,-0.0117573,0.488105,3.14118,-0.26027,-3.1401
863.755,0.0541405,-0.0117579,0.488105,3.14118,-0.26027,-3.14011
863.756,0.0541403,-0.0117582,0.488105,3.14118,-0.260271,-3.14011
863.757,0.0541403,-0.0117584,0.488105,3.14118,-0.26027,-3.14011
863.758,0.0541401,-0.0117584,0.488105,3.14118,-0.260269,-3.14011
863.759,0.0541397,-0.0117583,0.488105,3.14118,-0.260268,-3.14011
863.76,0.0541394,-0.011758,0.488105,3.14118,-0.260265,-3.1401
863.761,0.0541391,-0.0117577,0.488105,3.14118,-0.260263,-3.14009
863.762,0.0541385,-0.0117573,0.488105,3.14118,-0.260261,-3.14007
863.763,0.054138,-0.0117569,0.488105,3.14118,-0.260258,-3.14006
863.764,0.0541376,-0.0117564,0.488105,3.14117,-0.260255,-3.14004
863.765,0.054137,-0.0117557,0.488106,3.14117,-0.260252,-3.14003
863.766,0.0541366,-0.0117551,0.488106,3.14117,-0.26025,-3.14001
863.767,0.0541363,-0.0117545,0.488106,3.14117,-0.260247,-3.14
863.768,0.054136,-0.0117538,0.488106,3.14117,-0.260245,-3.13999
863.769,0.0541359,-0.0117533,0.488106,3.14117,-0.260244,-3.13998
863.77,0.0541358,-0.011753,0.488106,3.14117,-0.260244,-3.13997
863.771,0.0541359,-0.0117528,0.488106,3.14117,-0.260244,-3.13997
863.772,0.0541361,-0.0117528,0.488106,3.14117,-0.260245,-3.13997
863.773,0.0541364,-0.0117529,0.488106,3.14117,-0.260247,-3.13997
863.774,0.0541368,-0.011753,0.488106,3.14117,-0.260249,-3.13998
863.775,0.0541372,-0.0117533,0.488106,3.14117,-0.260252,-3.13999
863.776,0.0541377,-0.0117536,0.488105,3.14118,-0.260254,-3.14001
863.777,0.0541383,-0.011754,0.488105,3.14118,-0.260257,-3.14002
863.778,0.0541387,-0.0117545,0.488105,3.14118,-0.26026,-3.14004
863.779,0.0541392,-0.0117551,0.488105,3.14118,-0.260263,-3.14006
863.78,0.0541397,-0.0117558,0.488105,3.14118,-0.260265,-3.14007
863.781,0.05414,-0.0117564,0.488105,3.14118,-0.260268,-3.14009
863.782,0.0541403,-0.0117571,0.488105,3.14118,-0.260269,-3.14009
