,0,1,2,3
0,0.41411,0.163579,0.54718,44.957
1,0.414079,0.163731,0.547303,44.958
2,0.414047,0.163882,0.547427,44.959
3,0.414015,0.164034,0.547551,44.96
4,0.413982,0.164185,0.547674,44.961
5,0.41395,0.164337,0.547798,44.962
6,0.413918,0.164489,0.547922,44.963
7,0.413886,0.16464,0.548046,44.964
8,0.413853,0.164792,0.54817,44.965
9,0.413821,0.164944,0.548294,44.966
10,0.413788,0.165095,0.548417,44.967
11,0.413755,0.165247,0.548541,44.968
12,0.413722,0.165398,0.548665,44.969
13,0.413689,0.16555,0.548788,44.97
14,0.413656,0.165701,0.548912,44.971
15,0.413623,0.165853,0.549036,44.972
16,0.41359,0.166004,0.54916,44.973
17,0.413556,0.166156,0.549284,44.974
18,0.413523,0.166308,0.549408,44.975
19,0.413489,0.166459,0.549532,44.976
20,0.413456,0.166611,0.549656,44.977
21,0.413422,0.166762,0.54978,44.978
22,0.413388,0.166913,0.549905,44.979
23,0.413354,0.167065,0.550029,44.98
24,0.41332,0.167216,0.550153,44.981
25,0.413286,0.167367,0.550277,44.982
26,0.413251,0.167518,0.550401,44.983
27,0.413217,0.16767,0.550526,44.984
28,0.413183,0.167821,0.55065,44.985
29,0.413148,0.167972,0.550775,44.986
30,0.413113,0.168123,0.550899,44.987
31,0.413079,0.168274,0.551024,44.988
32,0.413044,0.168426,0.551148,44.989
33,0.413009,0.168577,0.551273,44.99
34,0.412974,0.168728,0.551397,44.991
35,0.412939,0.168879,0.551522,44.992
36,0.412904,0.16903,0.551646,44.993
37,0.412869,0.169181,0.55177,44.994
38,0.412833,0.169331,0.551895,44.995
39,0.412798,0.169482,0.552019,44.996
40,0.412763,0.169633,0.552144,44.997
41,0.412727,0.169784,0.552268,44.998
42,0.412691,0.169935,0.552393,44.999
43,0.412656,0.170085,0.552518,45.0
44,0.41262,0.170236,0.552642,45.001
45,0.412584,0.170387,0.552767,45.002
46,0.412548,0.170537,0.552892,45.003
47,0.412512,0.170688,0.553017,45.004
48,0.412476,0.170838,0.553142,45.005
49,0.412439,0.170989,0.553266,45.006
50,0.412403,0.171139,0.553391,45.007
51,0.412367,0.171289,0.553516,45.008
52,0.41233,0.17144,0.553641,45.009
53,0.412293,0.17159,0.553766,45.01
54,0.412256,0.17174,0.553891,45.011
55,0.41222,0.171891,0.554016,45.012
