,0,1,2,3
0,0.39458,0.00188163,0.434025,100.0
1,0.39458,0.00188149,0.434025,100.001
2,0.39458,0.00188136,0.434025,100.002
3,0.39458,0.00188124,0.434025,100.003
4,0.39458,0.00188112,0.434025,100.004
5,0.39458,0.00188104,0.434025,100.005
6,0.39458,0.00188098,0.434025,100.006
7,0.39458,0.00188092,0.434025,100.007
8,0.39458,0.00188088,0.434025,100.008
9,0.39458,0.00188086,0.434025,100.009
10,0.39458,0.00188083,0.434025,100.01
11,0.39458,0.00188079,0.434025,100.011
12,0.39458,0.00188078,0.434025,100.012
13,0.39458,0.00188074,0.434025,100.013
14,0.39458,0.00188071,0.434025,100.014
15,0.39458,0.0018807,0.434025,100.015
16,0.39458,0.00188069,0.434025,100.016
17,0.39458,0.00188069,0.434025,100.017
18,0.39458,0.00188072,0.434025,100.018
19,0.39458,0.00188076,0.434025,100.019
20,0.39458,0.00188081,0.434025,100.02
21,0.39458,0.00188089,0.434025,100.021
22,0.39458,0.00188097,0.434025,100.022
23,0.39458,0.00188107,0.434025,100.023
24,0.39458,0.00188117,0.434025,100.024
25,0.39458,0.00188126,0.434025,100.025
26,0.39458,0.00188137,0.434025,100.026
27,0.39458,0.00188148,0.434025,100.027
28,0.39458,0.00188158,0.434025,100.028
29,0.39458,0.00188168,0.434025,100.029
30,0.39458,0.00188181,0.434025,100.03
31,0.39458,0.00188191,0.434025,100.031
32,0.39458,0.00188202,0.434025,100.032
33,0.39458,0.00188213,0.434025,100.033
34,0.39458,0.00188222,0.434025,100.034
35,0.39458,0.00188232,0.434025,100.035
36,0.39458,0.00188242,0.434025,100.036
37,0.39458,0.0018825,0.434025,100.037
38,0.39458,0.00188259,0.434025,100.038
39,0.39458,0.00188268,0.434025,100.039
40,0.39458,0.00188274,0.434025,100.04
41,0.39458,0.0018828,0.434025,100.041
42,0.39458,0.00188287,0.434025,100.042
43,0.39458,0.00188289,0.434025,100.043
44,0.39458,0.00188291,0.434025,100.044
45,0.39458,0.00188291,0.434025,100.045
46,0.39458,0.00188287,0.434025,100.046
47,0.39458,0.00188283,0.434025,100.047
48,0.39458,0.00188278,0.434025,100.048
49,0.39458,0.0018827,0.434025,100.049
50,0.39458,0.00188262,0.434025,100.05
51,0.39458,0.00188255,0.434025,100.051
52,0.39458,0.00188247,0.434025,100.052
53,0.39458,0.00188239,0.434025,100.053
54,0.39458,0.00188231,0.434025,100.054
55,0.39458,0.00188222,0.434025,100.055
56,0.39458,0.00188212,0.434025,100.056
57,0.39458,0.00188202,0.434025,100.057
58,0.39458,0.0018819,0.434025,100.058
59,0.39458,0.00188176,0.434025,100.059
60,0.39458,0.00188163,0.434025,100.06
61,0.39458,0.00188149,0.434025,100.061
62,0.39458,0.00188136,0.434025,100.062
63,0.39458,0.00188124,0.434025,100.063
64,0.39458,0.00188112,0.434025,100.064
65,0.39458,0.00188104,0.434025,100.065
66,0.39458,0.00188098,0.434025,100.066
