,0,1,2,3
0,0.416144,0.152618,0.538303,57.013
1,0.416119,0.152771,0.538424,57.014
2,0.416094,0.152924,0.538546,57.015
3,0.416069,0.153077,0.538667,57.016
4,0.416043,0.15323,0.538789,57.017
5,0.416018,0.153383,0.538911,57.018
6,0.415993,0.153537,0.539033,57.019
7,0.415967,0.15369,0.539154,57.02
8,0.415941,0.153843,0.539276,57.021
9,0.415916,0.153996,0.539398,57.022
10,0.41589,0.154149,0.53952,57.023
11,0.415864,0.154301,0.539642,57.024
12,0.415838,0.154454,0.539764,57.025
13,0.415812,0.154607,0.539885,57.026
14,0.415785,0.15476,0.540007,57.027
15,0.415759,0.154913,0.540129,57.028
16,0.415733,0.155065,0.540251,57.029
17,0.415706,0.155218,0.540373,57.03
18,0.41568,0.155371,0.540496,57.031
19,0.415653,0.155523,0.540618,57.032
20,0.415627,0.155676,0.54074,57.033
21,0.4156,0.155828,0.540862,57.034
22,0.415573,0.155981,0.540984,57.035
23,0.415546,0.156134,0.541106,57.036
24,0.415519,0.156286,0.541228,57.037
25,0.415492,0.156438,0.54135,57.038
26,0.415465,0.156591,0.541472,57.039
27,0.415437,0.156743,0.541595,57.04
28,0.41541,0.156895,0.541717,57.041
29,0.415383,0.157048,0.541839,57.042
30,0.415355,0.1572,0.541962,57.043
31,0.415327,0.157352,0.542084,57.044
32,0.4153,0.157504,0.542207,57.045
33,0.415272,0.157657,0.542329,57.046
34,0.415244,0.157809,0.542452,57.047
35,0.415216,0.157961,0.542574,57.048
36,0.415188,0.158113,0.542697,57.049
37,0.415159,0.158265,0.542819,57.05
38,0.415131,0.158417,0.542942,57.051
39,0.415102,0.158569,0.543065,57.052
40,0.415074,0.158721,0.543187,57.053
41,0.415045,0.158873,0.54331,57.054
42,0.415017,0.159025,0.543433,57.055
43,0.414988,0.159177,0.543556,57.056
44,0.414959,0.159329,0.543678,57.057
45,0.41493,0.159481,0.543801,57.058
46,0.414901,0.159633,0.543924,57.059
47,0.414872,0.159785,0.544047,57.06
48,0.414842,0.159937,0.54417,57.061
49,0.414813,0.160089,0.544292,57.062
50,0.414783,0.160241,0.544415,57.063
51,0.414754,0.160393,0.544538,57.064
52,0.414724,0.160545,0.544661,57.065
53,0.414694,0.160697,0.544784,57.066
54,0.414664,0.160848,0.544907,57.067
55,0.414634,0.161,0.54503,57.068
56,0.414604,0.161152,0.545153,57.069
57,0.414574,0.161304,0.545276,57.07
58,0.414544,0.161456,0.5454,57.071
59,0.414513,0.161608,0.545523,57.072
60,0.414483,0.16176,0.545646,57.073
61,0.414452,0.161912,0.545769,57.074
62,0.414421,0.162064,0.545893,57.075
63,0.41439,0.162215,0.546016,57.076
64,0.414359,0.162367,0.546139,57.077
65,0.414328,0.162519,0.546263,57.078
66,0.414297,0.162671,0.546386,57.079
67,0.414266,0.162823,0.54651,57.08
68,0.414234,0.162975,0.546633,57.081
69,0.414203,0.163127,0.546757,57.082
70,0.414171,0.163278,0.546881,57.083
71,0.41414,0.16343,0.547004,57.084
72,0.414108,0.163582,0.547128,57.085
73,0.414076,0.163734,0.547252,57.086
74,0.414044,0.163886,0.547375,57.087
75,0.414012,0.164037,0.547499,57.088
76,0.41398,0.164189,0.547622,57.089
77,0.413948,0.164341,0.547746,57.09
78,0.413915,0.164493,0.547869,57.091
79,0.413883,0.164644,0.547993,57.092
80,0.41385,0.164796,0.548117,57.093
81,0.413818,0.164948,0.54824,57.094
82,0.413785,0.165099,0.548364,57.095
83,0.413752,0.165251,0.548488,57.096
84,0.41372,0.165403,0.548612,57.097
85,0.413687,0.165554,0.548736,57.098
86,0.413654,0.165706,0.54886,57.099
87,0.413621,0.165857,0.548984,57.1
88,0.413587,0.166009,0.549108,57.101
89,0.413554,0.16616,0.549232,57.102
90,0.41352,0.166312,0.549356,57.103
91,0.413487,0.166463,0.54948,57.104
92,0.413453,0.166614,0.549604,57.105
93,0.413419,0.166766,0.549728,57.106
94,0.413385,0.166917,0.549853,57.107
95,0.413351,0.167068,0.549977,57.108
96,0.413317,0.167219,0.550101,57.109
97,0.413283,0.167371,0.550225,57.11
98,0.413249,0.167522,0.55035,57.111
99,0.413215,0.167673,0.550474,57.112
100,0.413181,0.167824,0.550598,57.113
101,0.413146,0.167975,0.550723,57.114
102,0.413112,0.168126,0.550847,57.115
103,0.413077,0.168277,0.550971,57.116
104,0.413043,0.168428,0.551095,57.117
105,0.413008,0.168579,0.55122,57.118
106,0.412973,0.16873,0.551344,57.119
107,0.412938,0.16888,0.551468,57.12
108,0.412903,0.169031,0.551593,57.121
109,0.412868,0.169182,0.551717,57.122
110,0.412833,0.169333,0.551842,57.123
111,0.412797,0.169484,0.551967,57.124
112,0.412762,0.169634,0.552091,57.125
113,0.412726,0.169785,0.552216,57.126
114,0.412691,0.169935,0.552341,57.127
115,0.412655,0.170086,0.552466,57.128
116,0.412619,0.170236,0.55259,57.129
117,0.412583,0.170387,0.552715,57.13
118,0.412547,0.170537,0.55284,57.131
119,0.412511,0.170688,0.552965,57.132
120,0.412475,0.170838,0.55309,57.133
121,0.412439,0.170988,0.553214,57.134
122,0.412403,0.171139,0.553339,57.135
123,0.412366,0.171289,0.553464,57.136
124,0.41233,0.171439,0.553589,57.137
125,0.412293,0.17159,0.553714,57.138
126,0.412256,0.17174,0.553839,57.139
127,0.41222,0.17189,0.553964,57.14
128,0.412183,0.17204,0.554089,57.141
129,0.412146,0.172191,0.554214,57.142
130,0.412109,0.172341,0.554339,57.143
131,0.412072,0.172491,0.554464,57.144
132,0.412034,0.172641,0.554589,57.145
133,0.411997,0.172791,0.554714,57.146
134,0.411959,0.172941,0.554839,57.147
135,0.411922,0.173092,0.554965,57.148
136,0.411884,0.173242,0.55509,57.149
137,0.411846,0.173392,0.555215,57.15
138,0.411809,0.173542,0.555341,57.151
139,0.411771,0.173692,0.555466,57.152
140,0.411732,0.173842,0.555591,57.153
141,0.411694,0.173992,0.555717,57.154
142,0.411656,0.174142,0.555842,57.155
143,0.411618,0.174292,0.555968,57.156
144,0.411579,0.174442,0.556093,57.157
145,0.41154,0.174592,0.556219,57.158
146,0.411502,0.174742,0.556344,57.159
147,0.411463,0.174892,0.55647,57.16
148,0.411424,0.175042,0.556596,57.161
149,0.411385,0.175192,0.556721,57.162
150,0.411346,0.175342,0.556847,57.163
151,0.411307,0.175491,0.556973,57.164
152,0.411267,0.175641,0.557098,57.165
153,0.411228,0.175791,0.557224,57.166
154,0.411189,0.175941,0.55735,57.167
155,0.411149,0.176091,0.557475,57.168
156,0.411109,0.176241,0.557601,57.169
157,0.41107,0.176391,0.557727,57.17
158,0.41103,0.17654,0.557852,57.171
159,0.41099,0.17669,0.557978,57.172
160,0.41095,0.17684,0.558104,57.173
161,0.410909,0.17699,0.55823,57.174
162,0.410869,0.17714,0.558356,57.175
163,0.410829,0.177289,0.558482,57.176
164,0.410788,0.177439,0.558608,57.177
165,0.410748,0.177589,0.558734,57.178
166,0.410707,0.177738,0.55886,57.179
167,0.410666,0.177888,0.558986,57.18
168,0.410625,0.178037,0.559112,57.181
169,0.410584,0.178187,0.559238,57.182
170,0.410543,0.178336,0.559365,57.183
171,0.410502,0.178486,0.559491,57.184
172,0.410461,0.178635,0.559617,57.185
173,0.41042,0.178785,0.559743,57.186
174,0.410378,0.178934,0.55987,57.187
175,0.410337,0.179083,0.559996,57.188
176,0.410295,0.179233,0.560122,57.189
177,0.410254,0.179382,0.560248,57.19
178,0.410212,0.179531,0.560375,57.191
179,0.41017,0.179681,0.560501,57.192
180,0.410128,0.17983,0.560627,57.193
181,0.410086,0.179979,0.560754,57.194
182,0.410044,0.180128,0.56088,57.195
183,0.410002,0.180277,0.561006,57.196
184,0.409959,0.180426,0.561133,57.197
185,0.409917,0.180575,0.561259,57.198
186,0.409875,0.180724,0.561386,57.199
187,0.409832,0.180873,0.561512,57.2
188,0.409789,0.181022,0.561639,57.201
189,0.409747,0.181171,0.561766,57.202
190,0.409704,0.181319,0.561892,57.203
191,0.409661,0.181468,0.562019,57.204
192,0.409618,0.181617,0.562146,57.205
193,0.409575,0.181765,0.562273,57.206
194,0.409532,0.181914,0.562399,57.207
195,0.409488,0.182063,0.562526,57.208
196,0.409445,0.182211,0.562653,57.209
197,0.409401,0.18236,0.56278,57.21
198,0.409358,0.182508,0.562907,57.211
199,0.409314,0.182656,0.563033,57.212
200,0.409271,0.182805,0.56316,57.213
201,0.409227,0.182953,0.563287,57.214
202,0.409183,0.183102,0.563414,57.215
203,0.409139,0.18325,0.563541,57.216
204,0.409095,0.183398,0.563668,57.217
205,0.409051,0.183546,0.563795,57.218
206,0.409007,0.183695,0.563922,57.219
207,0.408962,0.183843,0.564049,57.22
208,0.408918,0.183991,0.564176,57.221
209,0.408873,0.184139,0.564303,57.222
210,0.408829,0.184287,0.56443,57.223
211,0.408784,0.184435,0.564557,57.224
212,0.408739,0.184583,0.564684,57.225
213,0.408694,0.184731,0.564811,57.226
214,0.408649,0.184879,0.564939,57.227
215,0.408604,0.185027,0.565066,57.228
216,0.408559,0.185175,0.565193,57.229
217,0.408514,0.185323,0.565321,57.23
218,0.408468,0.18547,0.565448,57.231
219,0.408423,0.185618,0.565575,57.232
220,0.408377,0.185766,0.565703,57.233
221,0.408331,0.185914,0.56583,57.234
222,0.408286,0.186062,0.565958,57.235
223,0.40824,0.186209,0.566085,57.236
224,0.408194,0.186357,0.566213,57.237
225,0.408148,0.186505,0.56634,57.238
226,0.408101,0.186652,0.566468,57.239
227,0.408055,0.1868,0.566595,57.24
228,0.408009,0.186948,0.566723,57.241
229,0.407962,0.187095,0.56685,57.242
230,0.407916,0.187243,0.566978,57.243
231,0.407869,0.187391,0.567105,57.244
232,0.407822,0.187538,0.567233,57.245
233,0.407775,0.187686,0.567361,57.246
234,0.407729,0.187833,0.567488,57.247
235,0.407681,0.187981,0.567616,57.248
236,0.407634,0.188128,0.567744,57.249
237,0.407587,0.188276,0.567871,57.25
238,0.40754,0.188423,0.567999,57.251
239,0.407492,0.188571,0.568127,57.252
240,0.407445,0.188718,0.568255,57.253
241,0.407397,0.188866,0.568383,57.254
242,0.407349,0.189013,0.568511,57.255
243,0.407301,0.18916,0.568639,57.256
244,0.407253,0.189308,0.568767,57.257
245,0.407205,0.189455,0.568895,57.258
246,0.407157,0.189602,0.569023,57.259
247,0.407109,0.18975,0.569151,57.26
248,0.40706,0.189897,0.569279,57.261
249,0.407012,0.190044,0.569407,57.262
250,0.406963,0.190191,0.569535,57.263
