,0,1,2,3
0,0.394567,0.00188452,0.433961,89.192
1,0.394568,0.00188533,0.433959,89.193
2,0.39457,0.00188625,0.433958,89.194
3,0.394571,0.00188731,0.433957,89.195
4,0.394573,0.0018885,0.433956,89.196
5,0.394575,0.00188985,0.433956,89.197
6,0.394577,0.00189138,0.433956,89.198
7,0.394578,0.00189308,0.433957,89.199
8,0.39458,0.00189499,0.433957,89.2
9,0.394583,0.00189711,0.433959,89.201
10,0.394585,0.00189946,0.43396,89.202
11,0.394587,0.00190205,0.433962,89.203
12,0.39459,0.00190491,0.433964,89.204
13,0.394592,0.00190803,0.433966,89.205
14,0.394595,0.00191144,0.433969,89.206
15,0.394598,0.00191517,0.433973,89.207
16,0.394601,0.00191922,0.433976,89.208
17,0.394604,0.00192362,0.433981,89.209
18,0.394608,0.00192841,0.433985,89.21
19,0.394611,0.00193357,0.43399,89.211
20,0.394614,0.00193914,0.433996,89.212
21,0.394618,0.00194514,0.434001,89.213
22,0.394621,0.00195155,0.434007,89.214
23,0.394625,0.00195838,0.434013,89.215
24,0.394629,0.00196566,0.434019,89.216
25,0.394633,0.00197335,0.434025,89.217
26,0.394637,0.00198147,0.434031,89.218
27,0.394642,0.00199004,0.434037,89.219
28,0.394646,0.00199905,0.434043,89.22
29,0.394651,0.00200851,0.434048,89.221
30,0.394656,0.00201845,0.434054,89.222
31,0.394661,0.00202884,0.43406,89.223
32,0.394666,0.00203971,0.434066,89.224
33,0.394672,0.00205107,0.434072,89.225
34,0.394677,0.00206288,0.434078,89.226
35,0.394683,0.00207517,0.434085,89.227
36,0.394688,0.00208794,0.434092,89.228
37,0.394694,0.00210115,0.434099,89.229
38,0.3947,0.0021148,0.434106,89.23
39,0.394706,0.0021289,0.434114,89.231
40,0.394712,0.00214342,0.434123,89.232
41,0.394718,0.00215836,0.434131,89.233
42,0.394724,0.0021737,0.43414,89.234
43,0.394731,0.00218943,0.43415,89.235
44,0.394737,0.00220555,0.434159,89.236
45,0.394744,0.00222204,0.434169,89.237
46,0.394751,0.00223888,0.434179,89.238
47,0.394758,0.00225607,0.434189,89.239
48,0.394765,0.0022736,0.434199,89.24
49,0.394772,0.00229145,0.434209,89.241
50,0.39478,0.0023096,0.434219,89.242
51,0.394787,0.00232805,0.434229,89.243
52,0.394795,0.00234678,0.434238,89.244
53,0.394803,0.00236579,0.434248,89.245
54,0.394811,0.00238504,0.434258,89.246
55,0.394819,0.00240452,0.434268,89.247
