,0,1,2,3
0,0.416215,0.072279,0.479344,401.773
1,0.416239,0.0724335,0.479449,401.774
2,0.416263,0.072588,0.479554,401.775
3,0.416287,0.0727425,0.479659,401.776
4,0.416311,0.0728971,0.479764,401.777
5,0.416335,0.0730517,0.479869,401.778
6,0.416359,0.0732064,0.479974,401.779
7,0.416383,0.0733611,0.480079,401.78
8,0.416406,0.0735158,0.480184,401.781
9,0.41643,0.0736706,0.48029,401.782
10,0.416453,0.0738254,0.480395,401.783
11,0.416476,0.0739803,0.480501,401.784
12,0.4165,0.0741352,0.480606,401.785
13,0.416523,0.07429,0.480712,401.786
14,0.416546,0.0744449,0.480817,401.787
15,0.416569,0.0745998,0.480923,401.788
16,0.416592,0.0747548,0.481029,401.789
17,0.416614,0.0749097,0.481134,401.79
18,0.416637,0.0750646,0.48124,401.791
19,0.41666,0.0752195,0.481346,401.792
20,0.416682,0.0753744,0.481451,401.793
21,0.416705,0.0755293,0.481557,401.794
22,0.416727,0.0756842,0.481663,401.795
23,0.416749,0.0758391,0.481768,401.796
24,0.416771,0.075994,0.481874,401.797
25,0.416793,0.0761488,0.48198,401.798
26,0.416815,0.0763037,0.482086,401.799
27,0.416837,0.0764585,0.482192,401.8
28,0.416859,0.0766133,0.482298,401.801
29,0.416881,0.0767681,0.482404,401.802
30,0.416902,0.0769228,0.48251,401.803
31,0.416924,0.0770775,0.482616,401.804
32,0.416945,0.0772322,0.482722,401.805
33,0.416967,0.0773868,0.482828,401.806
34,0.416988,0.0775414,0.482935,401.807
35,0.417009,0.077696,0.483041,401.808
36,0.41703,0.0778505,0.483148,401.809
37,0.417051,0.078005,0.483254,401.81
38,0.417072,0.0781595,0.48336,401.811
39,0.417093,0.0783139,0.483467,401.812
40,0.417113,0.0784683,0.483574,401.813
41,0.417134,0.0786227,0.48368,401.814
42,0.417155,0.0787771,0.483787,401.815
43,0.417175,0.0789314,0.483893,401.816
44,0.417196,0.0790858,0.484,401.817
45,0.417216,0.0792401,0.484106,401.818
46,0.417236,0.0793944,0.484213,401.819
47,0.417257,0.0795486,0.484319,401.82
48,0.417277,0.0797029,0.484426,401.821
49,0.417297,0.0798571,0.484532,401.822
50,0.417316,0.0800113,0.484639,401.823
51,0.417336,0.0801655,0.484745,401.824
52,0.417356,0.0803197,0.484852,401.825
53,0.417376,0.0804739,0.484959,401.826
54,0.417395,0.0806281,0.485066,401.827
55,0.417414,0.0807823,0.485173,401.828
56,0.417434,0.0809365,0.48528,401.829
57,0.417453,0.0810908,0.485387,401.83
58,0.417472,0.081245,0.485494,401.831
59,0.417491,0.0813992,0.485601,401.832
60,0.41751,0.0815535,0.485708,401.833
61,0.417529,0.0817077,0.485815,401.834
62,0.417547,0.081862,0.485923,401.835
63,0.417566,0.0820163,0.48603,401.836
64,0.417585,0.0821707,0.486137,401.837
65,0.417603,0.082325,0.486244,401.838
66,0.417621,0.0824794,0.486351,401.839
67,0.41764,0.0826339,0.486459,401.84
68,0.417658,0.0827884,0.486566,401.841
69,0.417676,0.0829429,0.486673,401.842
70,0.417694,0.0830974,0.48678,401.843
71,0.417712,0.083252,0.486888,401.844
72,0.417729,0.0834066,0.486995,401.845
73,0.417747,0.0835613,0.487102,401.846
74,0.417764,0.0837159,0.487209,401.847
75,0.417782,0.0838707,0.487317,401.848
76,0.417799,0.0840254,0.487424,401.849
77,0.417816,0.0841802,0.487532,401.85
78,0.417834,0.084335,0.487639,401.851
79,0.41785,0.0844898,0.487747,401.852
80,0.417867,0.0846447,0.487854,401.853
81,0.417884,0.0847996,0.487962,401.854
82,0.417901,0.0849545,0.48807,401.855
83,0.417917,0.0851095,0.488178,401.856
84,0.417934,0.0852644,0.488286,401.857
85,0.41795,0.0854194,0.488394,401.858
86,0.417966,0.0855745,0.488501,401.859
87,0.417983,0.0857295,0.488609,401.86
88,0.417999,0.0858845,0.488717,401.861
89,0.418015,0.0860396,0.488825,401.862
90,0.418031,0.0861947,0.488933,401.863
91,0.418046,0.0863498,0.489041,401.864
92,0.418062,0.0865049,0.489149,401.865
93,0.418078,0.08666,0.489257,401.866
94,0.418093,0.0868152,0.489365,401.867
95,0.418109,0.0869703,0.489473,401.868
96,0.418124,0.0871254,0.489581,401.869
97,0.418139,0.0872805,0.489689,401.87
98,0.418155,0.0874356,0.489797,401.871
99,0.41817,0.0875907,0.489905,401.872
100,0.418185,0.0877458,0.490013,401.873
101,0.418199,0.0879008,0.490121,401.874
102,0.418214,0.0880558,0.490229,401.875
103,0.418229,0.0882108,0.490337,401.876
104,0.418243,0.0883658,0.490446,401.877
105,0.418258,0.0885208,0.490554,401.878
106,0.418272,0.0886757,0.490663,401.879
107,0.418287,0.0888306,0.490771,401.88
108,0.418301,0.0889855,0.49088,401.881
109,0.418315,0.0891403,0.490988,401.882
110,0.418329,0.0892952,0.491097,401.883
111,0.418343,0.08945,0.491206,401.884
112,0.418357,0.0896048,0.491314,401.885
113,0.418371,0.0897595,0.491423,401.886
114,0.418384,0.0899143,0.491531,401.887
115,0.418398,0.090069,0.49164,401.888
116,0.418411,0.0902236,0.491749,401.889
117,0.418425,0.0903783,0.491857,401.89
118,0.418438,0.0905329,0.491966,401.891
119,0.418452,0.0906874,0.492074,401.892
120,0.418465,0.090842,0.492183,401.893
121,0.418478,0.0909965,0.492292,401.894
122,0.418491,0.091151,0.4924,401.895
123,0.418504,0.0913054,0.492509,401.896
124,0.418517,0.0914599,0.492618,401.897
125,0.41853,0.0916143,0.492727,401.898
126,0.418542,0.0917687,0.492836,401.899
127,0.418555,0.091923,0.492945,401.9
128,0.418567,0.0920774,0.493054,401.901
129,0.41858,0.0922317,0.493163,401.902
130,0.418592,0.092386,0.493272,401.903
131,0.418604,0.0925403,0.493381,401.904
132,0.418616,0.0926946,0.493491,401.905
133,0.418628,0.0928489,0.4936,401.906
134,0.41864,0.0930031,0.493709,401.907
